SL,NAME OF RETAIL OUTLET,LOCATION,DISTRICT,STATE,BANK
536,SHRI MARUTI KISAN SEWA KENDRA,"SHRI MARUTI KISAN SEWA KENDRA, INDORE ROAD,DEPALPUR,INDIAN OIL PETROLPUMP,DEPALPUR INDORE",INDORE,Madhya Pradesh,SBI
537,MA PRITI KISAN SEWA KENDRA,"138 CHOTA BANGARDA,LAXMIBAI NAGAR MANDI ROAD,MR-5,INDORE",INDORE,Madhya Pradesh,SBI
538,RAM SINGH  AMAR SINGH KISAN SEVA KENDRA,"NEAR POLICE STATION, SUTHALIA, DISTT-RAJGARH (MP),SUTHALIA",RAJGARH,Madhya Pradesh,SBI
539,JAY GOPAL KISAN SEWA KENDRA,"MAIN ROAD KAMPEL,INDORE",INDORE,Madhya Pradesh,SBI
540,JAI GURU GAJANAND KISAN SEWA KENDRA,"SEONI ROAD, SHEOPUR,SHEOPUR",HOSHANGABAD,Madhya Pradesh,SBI
541,MAA BHAGWATI KISAN SEVA KENDRA,"MUNDRAMATA, ARON, GUNA MP 473101,ARON",GUNA,Madhya Pradesh,SBI
542,PRITI KISAN SEVA KENDRA,"PANWADIHAT, ARON, GUNA MP 473101,ARON",GUNA,Madhya Pradesh,SBI
543,REVA KISAN SEVA KENDRA,"REVA KISAN SEVA KENDRA PETROL PUMP ,SULLKHEDI MANGLIYA INDORE,INDORE",INDORE,Madhya Pradesh,SBI
544,LAXMI KISAN SEWA KENDRA,"MS LAXMI KISAN SEWA KENDRA , PETROL PUMP VILL MAU TEHSIL SARANGPUR DISTT-RAJGARHM.P.,SARANGPUR",RAJGARH,Madhya Pradesh,SBI
545,URJANCHAL KISAN SEWA KENDRA,"URJANCHAL KISAN SEWA KENDRA TUSAKHAND,URJANCHAL PETROL PUMP SINGRAULI",SINGRAULI,Madhya Pradesh,SBI
546,MS HARVILASH FILLING CENTRE,"VILL SAUNSA MORAR MORAR,MORAR GWALIOR",GWALIOR,Madhya Pradesh,SBI
547,TIWARI FILLING CENTER KSK BANWAR GWALIOR,"VILL PO BANWAR GWALIOR BANWAR,VILL PO BANWAR GWALIOR",GWALIOR,Madhya Pradesh,SBI
549,BHAWANI KISAN SEVA KENDRA,"POST PRABHATPATTAN, TH- MULTAI,BETUL",BETUL,Madhya Pradesh,SBI
550,MAA SANTOSHI KISAN SEVA KENDRA,"GUDGAO ROAD, ATHNER,ATHNER, BETUL",BETUL,Madhya Pradesh,SBI
551,BOHARASWER KIASN SEWA KENDRA SURPURA,"VILLAGE SURPURA,BHIND",BHIND,Madhya Pradesh,SBI
552,SHUBHAM  KISAN SEVA KENDRA,"VILLAGE KANHA SAIYA KOKTA TRANSPORT TO BHANPUR BRIDGE BHOPAL,BHOPAL",BHOPAL,Madhya Pradesh,SBI
553,SATYA SAI PETROLIUM,"VILLAGE POST MISROD,DOLARIYA",HOSHANGABAD,Madhya Pradesh,SBI
554,SHRINATH JI KISAN SEVA KENDRA,"M/S SHRINATH JI KISAN SEVA KENDRA , PETROL PUMP AT KUMBHRAJ, TEHSIL KUMBHRAJ DISTT-GUNA(MP),KUMBHRAJ",GUNA,Madhya Pradesh,SBI
555,AGRAWAL KISAN SEVA KENDRA,"AGRAWAL SEWA KENDRA BADJHARI RATIBAD,BHOPAL,MP",BHOPAL,Madhya Pradesh,SBI
556,AGRAWAL KISAN SEVA KENDRA,"AGRAWAL SEWA KENDRA BADJHARI RATIBAD,BHOPAL,MP",BHOPAL,Madhya Pradesh,SBI
557,PATEL KISAN SEWA KENDRA,"RUSSALI SAHU TEH LATERI,VIDISHA",VIDISHA,Madhya Pradesh,SBI
558,SHRI SAI JYOTI KISAN SEVA KENDRA,"VILLAGE DUPAWDA MADAVADI BADNAGAR ROAD KHACHROD,BADNAGAR ROAD KHACHRODKHACHROD",UJJAIN,Madhya Pradesh,SBI
559,VEER BALAJI KISAN SEVA KENDRA,"VILLAGE BICHROD TEHSIL GHATIYA,TARANA",UJJAIN,Madhya Pradesh,SBI
560,JAI SHRI KRISHNA KISAN SEVA KENDRA,"VILLAGE: MENDHAKWAS,SURVEY NO.296/2, GAUTAMPURA,TEHSIL: DEPALPUR",INDORE,Madhya Pradesh,SBI
561,KISAN SEVA KENDRA UMARIA PAN,"JHANDA CHOWK , UMARIA PAN , KATNI,KATNI",KATNI,Madhya Pradesh,SBI
562,MS FALODI KISAN SEWA KENDRA CHHAPIHEDA,"CHHAPIHEDA , PETROL PUMP AT MAIN ROAD CHHAPIHEDA,CHHAPIHEDA",RAJGARH,Madhya Pradesh,SBI
563,MS SHRI RAMCHANDRA KRIPA KSK KAREDI,"KAREDI, PETROL PUMP AT KHUJNER ROAD KAREDI DISTT-RAJGARH M.P.,KAREDI",RAJGARH,Madhya Pradesh,SBI
564,SHRI SANKAT MOCHAN KISAN SEVA KENDRA,"VILLAGE LEKODA TEHSIL UJJAIN,UJJAIN",UJJAIN,Madhya Pradesh,SBI
565,PIPALGONE KISAN SEWA KENDRA,"main road pipalgone,PIPALGONE",KHARGONE,Madhya Pradesh,SBI
566,SHRI HARI JEDHE KISANA SEVA KENDRA,"KHEDLI, BETUL,BETUL",BETUL,Madhya Pradesh,SBI
567,ASHIRWAD KISAN SEVA KENDRA,VILLAGE - SEJAWATA SURVEY NO. 449/4 449/5 PH 20 TEHSIL & DIST - RATLAM (MP),RATLAM,Madhya Pradesh,SBI
568,VAISHNAVI KISAN SEVA KENDRA,"VILLAGE GHINODA TEHSIL KHACHROD,UJJAIN",UJJAIN,Madhya Pradesh,SBI
569,SHRI FUELS KISAN SEWA KENDRA,"INDORE ROAD HARSOLA,INDORE INDORE",INDORE,Madhya Pradesh,SBI
570,SHREE ARIHANT KISAN SEWA KENDRA,"SURVEY NO 101 3SAGORE KUTI ROAD SALAMPUR,BETMA DEPALPURINDORE",INDORE,Madhya Pradesh,SBI
572,SAWARIYA KISAN SEWA KENDRA,"HATPIPLIYA,HATPIPLIYA",DEWAS,Madhya Pradesh,SBI
573,MAA HINGLAJ KISAN SEWA KENDRA,"TONGRA TEHSIL SHIVPURI,SHIVPURI SHIVPURI",SHIVPURI,Madhya Pradesh,SBI
574,JAMRA KISAN SEWA KENDRA,"JAMRA KISAN SEWA KENDRASENDHWA WARLA ROAD BALWADI,AT POST BALWADITEHSIL WARLADIST BARWANI",BADWANI,Madhya Pradesh,SBI
575,M . L. PATEL KISAN SEVA KENDRA,"BADWAH ROAD UDAYNAGAR,UDAYNAGAR",DEWAS,Madhya Pradesh,SBI
576,SHRI KSHETRAPAL KISAN SEWA KENDRA,"MANPUR MANPUR,MANPUR SHEOPUR,",SHEOPUR,Madhya Pradesh,SBI
577,OM NATH KISAN SEVA KENDRA,"OM NATH KISAN SEVA KENDRA AT PO SARANGI TH PETLAWAD RATLAM,RATLAM,MADHYAPRADESH",JAHBUA,Madhya Pradesh,SBI
578,NAVYA KISAN SEVA KENDRA,"M/S NAVYA KISAN SEWA KENDRA, NEAR HANUMAN MANDIR BODA, PACHORROAD,RAJGARH,MADHYA PRADESH",RAJGARH,Madhya Pradesh,SBI
579,"SURENDRA KUMAR AND SONS KISANSEVAKENDRA","TILLORE PIPLIYAHANA,INDORE INDORE",INDORE,Madhya Pradesh,SBI
580,MANUDEVI PETROLEUM KSK,"BHUSHAN NAGAR WADI BOKAR DEOPAR,DHULE",DHULE,Maharashtra,SBI
581,PHALKE PETROLEUM,"AT POST TALEGAON TAL BHOKARDAN,JALNA",JALNA,Maharashtra,SBI
582,R T BHONDE KISAN SEVA KENDRA,"AT POST RAIPUR HALNI ROAD DUDHA RAIPUR,BULDHANA",BULDHANA,Maharashtra,SBI
583,BHAGANAGARKAR AND SONS,"GUNDAPPA CHOWK, TOWARDS PATAN ROAD,,PATANBORI",YAVATMAL,Maharashtra,SBI
584,SHRI SIDDHIVINAYAK PETROL KSK,"KARJAT KARMALA ROAD AMBIJALGAON,KARJAT",AHMADNAGAR,Maharashtra,SBI
585,ONKAR KISAN SEVA KENDRA,"A/P WADALA,WADALA",SOLAPUR,Maharashtra,SBI
586,NIKAM PETROLEUM,"GAT NO 1410 1A 2C AT POST PATANE TAL MALEGAON,DIST NASHIK",NASHIK,Maharashtra,SBI
587,BHAGWATI KISAN SEVA KENDRA,"BHAGURDI ROAD ABHONA TAL KALWAN,NASHIK",NASHIK,Maharashtra,SBI
588,SRUSHTI PETROLINK,"GAT NO 18 SANGAWADEWADI AT POST SANGAWADEWADI TALUKA KARVEERKOLHAPUR,KOLHAPUR",KOLHAPUR,Maharashtra,SBI
589,VIKRAN KISAN SEVA KENDRA,"CHILISGAON ROAD VILLAGE NAYDONGARI TAL NANDGAON,NASHIK",NASHIK,Maharashtra,SBI
590,YEDESHWARI PETROLEUM AND KSK,"680 1 CHIKARDE TAL BARSHI,BARSHI",SOLAPUR,Maharashtra,SBI
591,SARTHAK KISAN SEVA KENDRA,"GUT NO ? 319, VILLAGE RANI UNCHEGAON TAL GHANWASANGI,JALNA",JALNA,Maharashtra,SBI
592,BAVDHAN VIKAS PETROLEUM KSK,"GUT NO 172, VILLAGE BAVDHAN,BAVDHAN, TAL WAI",SATARA,Maharashtra,SBI
593,GANRAJ KISAN SEVA KENDRA,"gut no 263 rajur bhokardan,JALNA",JALNA,Maharashtra,SBI
594,WADOD BAZAR KISSAN SEVA PETROLEUM,"FARSHI ROAD VILLAGE WADOD BAZAR TAL FULAMBRI,JALNA",AURANGABAD,Maharashtra,SBI
595,SAMRUDDHI PETROLIUM,"VIRGAON PHATA VIRGAON TAL AKOLE,VIRGAON PHATA AKOLE",AHMADNAGAR,Maharashtra,SBI
596,SHIVSHANKAR PETROLEUM,"AT POST DUGAON, TAL. CHANDWAD, DIST. NASHIK 423104,NASIK",NASHIK,Maharashtra,SBI
597,SANTOSHBHAU PETROLEUM (KSK),"AT POST AJANG, TAL. MALEGAON, DIST. NASHIK,NASIK",NASHIK,Maharashtra,SBI
598,PRAMOD KSK,"GUT NO ? 4 MAHALGAON TAL VAIJAPUR,AURANGABAD",AURANGABAD,Maharashtra,SBI
599,SAVATA KISAN SEVA KENDRA,"GUT NO 138 SHAIKHPUR POST PADOLI TAL KHULTABAD,AURANGABAD",AURANGABAD,Maharashtra,SBI
600,Vishwas Kisan Seva Kendra,"IndainOil Petrol Pump Karjat Road Kuldharan,Kuldharan Karjat",AHMADNAGAR,Maharashtra,SBI
601,BHAGYASHRI KISAN SEVA KENDRA,"SURVEY NO-82 HATGAON,PATHRI",PARBHANI,Maharashtra,SBI
602,RAGHUVIMAL PETROLEUM,"RAGHUVIMAL PETROLEUM PUNTAMBA ROAD,PUNTAMBA ROAD",AHMADNAGAR,Maharashtra,SBI
603,RAM LAXMAN PETROLEUM AND KSK,"GAT NO 156 MAHALUNGE AMBETHAN,AMBETHAN KHED PUNE",PUNE,Maharashtra,SBI
604,KALPVRUKSH KSK,"SURVEY NO 177 NEAR GHOLWAD RAILWAY STATION,GHOLWAD WEST GHOLWAD TQ DAHANU,",PALGHAR,Maharashtra,SBI
605,N R PETRLEUM MANDVI,"AT PO MANDVI TQ KINWAT,NANDED NANDED",NANDED,Maharashtra,SBI
606,JAIHIND PETROLEUM,"AT POST SAWARGAON SAWARGAON TAL JUNNAR,PUNE",PUNE,Maharashtra,SBI
608,KADAM PATIL PETROLEUM KSK,"KADAM PATIL PETROLEUM KSK RAHU WAGHOLI ROAD PILANW,RAHU WAGHOLI ROADPILANWADI TAL DAUND DIST PUNE",PUNE,Maharashtra,SBI
609,SHRI GANESHSEVA KENDRA,"AP MORGAON GAT NO 22 SUPA MORGAON ROAD,TAL BARAMATI PUNE",PUNE,Maharashtra,SBI
610,"MS VYAWAHARE PETROLEUM KISAN SEVAKENDRA","SHIRSODI INDAPUR,PUNE SHIRSODI",PUNE,Maharashtra,SBI
611,KUBER KISAN SEVA KENDRA,"KUBER KISAN SEVA KENDRA KUMBHOJ,HATKANANGALE KUBHOJ ROAD KOLHAPUR",KOLHAPUR,Maharashtra,SBI
612,SHRI SIDDHESHWAR PETROLEUM,"AT & POST NAIGAON,PURANDAR, PUNE",PUNE,Maharashtra,SBI
613,PRATHAMESH PETROLEUM,"Ichalkaranji,Ichalkaranji",KOLHAPUR,Maharashtra,SBI
614,MANJULAI PETROLEUM KSK,"GAT NO 649 AT MOI POST KURULI KURULI,CHAKAN CHAKAN",PUNE,Maharashtra,SBI
615,BHARATI PETROLEUM KSK,"WALWAD BHOOM BHOOM,OSMANABAD BHOOM",OSMANABAD,Maharashtra,SBI
616,SHREE SAIRAJ PETROLEUM,"SHREE SAIRAJ PETROLEUM TAKALI,TAKALI TAL KOPARGAON",AHMADNAGAR,Maharashtra,SBI
617,SHRI SANT MUKTABAI KISAN SEVA KENDRA,"SHELGAON SHELGAON,SHELGAON INDAPUR",PUNE,Maharashtra,SBI
618,SADGURU KISAN SEVA KENDRA,"GAT NO 2 2 SAHAJPUR NANDUR ROAD,SAHAJPUR VILLAGE TAL DAUND DIST PUNE",PUNE,Maharashtra,SBI
619,YASH PETROLEUM KSK,"YASH PETROL PUMP PHALTAN SATARA RD THAKURKI,PHALATAN SATARA",SATARA,Maharashtra,SBI
620,MS MUKTAI KSK INDIAN OIL ANAKDHAL,"GAT NO 466 2 AND GAT NO 475 AT ANAKDHAL POST CHINA,TAL SANGOLA SOLAPUR",SOLAPUR,Maharashtra,SBI
621,ALDAR KISAN SEVA KENDRA,"ALDAR KISAN SEVA KENDRA GAT NO 1618 AT POST KOLE TAL SANGOLASOLAPUR,SOLAPUR,MAHARASHTRA",SOLAPUR,Maharashtra,SBI
622,TANISHQ PETROLEUM,"AT POST PRATAPPUR TAL SANGAMNER,AHMEDNAGAR AHMEDNAGAR",AHMADNAGAR,Maharashtra,SBI
623,GAURI KISAN SEVA KENDRA,"AT POST WASHIMBE TAL KARMALA KARMALA,KARMALA",SOLAPUR,Maharashtra,SBI
624,BHIMASHANKAR PETROLEUM KSK,"BHIMASHANKAR PETROLEUM KSK AT POST NIMBONI TAL MANGALWEDHA,SOLAPUR",SOLAPUR,Maharashtra,SBI
625,SHETKARI SAHAKARI T K V SANGH LTD KOLHAPUR,"N H 4 HIGHWAY PUNE BANGALORE ROAD,KAGAL KAGAL",KOLHAPUR,Maharashtra,SBI
626,SHETKARI SAHAKARI T K V SANGH LTD KOLHAPUR,"N H 4 HIGHWAY PUNE BANGALORE ROAD,KAGAL KAGAL",KOLHAPUR,Maharashtra,SBI
627,"KONTHOUJAM KISAN SEWA KENDRA KYAMGEIPALLI","KYAMGEI PALLI ROAD, OPP. STANDARD ROBARTH,IMPHALWEST",EAST IMPHAL,Manipur,SBI
628,DGR VELOCITY KSK,"NAPET PALLI, NEAR LAMLAI POLICE STATION,IMPHAL EAST",EAST IMPHAL,Manipur,SBI
629,LAMSANG OIL SERVICE,"BTM COMPLEX LAMDENG,LAMDENG",WEST IMPHAL,Manipur,SBI
630,IBETOMBI KISAN SEVA KENDRA,"KONGBA TAKHOK ROAD,IMPHAL EAST",EAST IMPHAL,Manipur,SBI
631,SHREE BATESWAR FILLING STATION,"BALIDOKAN,KONARK,PURI",PURI,Odisha,SBI
632,MAA SHAKTI KSK,"AT-KANTI, PO-GADAKARAMARA, GOP,PURI",PURI,Odisha,SBI
633,NATIONAL TRADING COMPANY,"SAW MILL CHOWK,ROURKELA",ROURKELA,Odisha,SBI
634,CHAMPATY & SONS,"AT - EBARANGA, PO - KAPILPRASAD, SUNDARPADA,BHUBANESWAR",KHORDHA,Odisha,SBI
635,CHAKRADHAR KSK,"DUKURA P.O. DUKURA DIST: MAYURBHANJ-757075 ODISHA,ODISHA",MAYURBHANJ,Odisha,SBI
636,BABAJI SAHOO KISAN SEVA KENDRA,"AT-JAGANNATHPUR,KAKATPUR,PURI",PURI,Odisha,SBI
637,MAHALAXMI KISAN SEVA KENDRA,"AT-SAMPUR,PO-TARADAPADA,PURI",JAGATSINGHPUR,Odisha,SBI
638,KUMAR KISAN SEVA KENDRA,"AT-PANIORA, PO- PALASPUR, CHANDAKA, KHORDHA,BHUBANESHWAR",KHORDHA,Odisha,SBI
639,NIRUPAMA KSK,"BARCHHIKHUNTA,CHHANPUR,INDUSTRIAL AREA,BALASORE",BALESHWAR,Odisha,SBI
640,KSHETRAMOHAN KSK,"PAIKASTA,GOPALPUR,BALASORE,ODISHA,756044",BALESHWAR,Odisha,SBI
641,KUNAL FILLING STATION,"KUNAL TRAVELS,SUNDARGARH",SUNDARGARH,Odisha,SBI
642,RAJA KISAN SEVA KENDRA,"PODA ASTIA P.O. PODA ASTIA DIST: MAYURBHANJ,MAYURBHANJ",MAYURBHANJ,Odisha,SBI
643,RAGHUNATH FILLING STATION,"AT/PO- AGALPUR, VIA- SALEBHATA, DIST- BALANGIR,AGALPUR",BOLANGIR,Odisha,SBI
644,SITA KISHAN SEVA KENDRA,"TELIBAHALI,JAKHAPURA,JAJPUR",JAJPUR,Odisha,SBI
645,BALIAPAL KSK,"kachuapada,BALIAPAL,BALASORE",BALESHWAR,Odisha,SBI
646,MAA BELESWARI KSK,"balipur, sendhatira,BHADRAK",BHADRAK,Odisha,SBI
647,GAYATRI KSK,"neguan,kakhara,BHOGRAI, BALASORE",BALESHWAR,Odisha,SBI
649,DHIRENDRANATH KISAN SEVA KENDRA,"IOCL Petrol Pump,Brahma Pur, 42 Mouza, Near Tarini Mandir, Cuttack sadar,Cuttack",CUTTACK,Odisha,SBI
650,LAXMI KISAN SEVA KENDRA,"IOCL Petrol Pump,Radhagovindapur, Dhaipur, Athagarh,Cuttack",CUTTACK,Odisha,SBI
651,MAA SARALA KISAN SEVA KENDRA,"IOCL Petrol Pump, Arilo, Naraj ,Near Naraj Barrage,Cuttack",CUTTACK,Odisha,SBI
652,OM MAA TARINI KSK,"IOCL Pump ,Main Road, Bhatpada, Near Chanakya Hotel, Bahugram,Cuttack",CUTTACK,Odisha,SBI
653,OMM SAI KARUNA KSK,"Mahana, Japkud, Bahugram, Salipur,Cuttack",CUTTACK,Odisha,SBI
654,SAIRAM KISAN SEVA KENDRA,"IOCL Petrol Pump, Kapaleswar, Near Kali Mandir, Choudwar,Cuttack",CUTTACK,Odisha,SBI
655,SHAKTI KISAN SEWA KENDRA,"Kendupali, Nukhapada, Narsinghpur,Cuttack",CUTTACK,Odisha,SBI
656,SHAKTI KISAN SEWA KENDRA,"Kendupali, Nukhapada, Narsinghpur,Cuttack",CUTTACK,Odisha,SBI
657,SHREE UN PETROLEUM KSK,"IOCL Petrol Pump, Amnakuda, Khulisha, Niali,Cuttack",KHORDHA,Odisha,SBI
658,UDAYANATH KSK,"IOCL Petrol Pump, Adaspur Bazar, Near Bharat Gas,Adaspur,Cuttack",CUTTACK,Odisha,SBI
659,RENU KSK,"kaptipada po kaptipada,DIST MAYURBHANJ",MAYURBHANJ,Odisha,SBI
660,RENU KSK,"kaptipada po kaptipada,DIST MAYURBHANJ",MAYURBHANJ,Odisha,SBI
661,MASROOR KISAN SEVA KENDRA,"iocl pump, jemedeipur, near nuapatna nodal u p school, nuapatna,Cuttack",CUTTACK,Odisha,SBI
662,RAJ KRISHNA KSK,"AT/PO-HATBADRA RAIRANGPUR,MAYURBHANJ",MAYURBHANJ,Odisha,SBI
663,SARAT KISHAN SEVA KENDRA,"SAHAJBAHAL PO BASANTPUR,Sambalpur",SAMBALPUR,Odisha,SBI
664,ANITA FILLING STATION,"RAJPUR,BRAJRAJNAGAR",JHARSUGUDA,Odisha,SBI
665,MAA CHANDRAHASINI FILLING STATION,"CO MAA CHANDRAHASINI FILLING STATION,RUCHIDA",BARGARH,Odisha,SBI
666,RUDRA FUEL CENTER,"LATHIKATA,ROURKELA",SUNDARGARH,Odisha,SBI
667,MADAN MOHAN FILLING STATION,"MADAN MOHAN FILLING STATION MAHULPALI,MAHULPALI BARGARH",BARGARH,Odisha,SBI
668,GORUMAHISANI KSK,"At- Kuleisila, Po- Gorumahisani,Mayurbhanj",MAYURBHANJ,Odisha,SBI
669,RAMARUKMANI K.S.K,"AT- MAHESWAR PUR, PO- KABIR PUR,Jajpur",JAJPUR,Odisha,SBI
670,MS SATYASAI FILLING STATION,"UDAYAPUR ULLUNDA,ULLUNDA SONEPUR",SONAPUR,Odisha,SBI
671,DAKHINKALI KISSAN SEVA KENDRA,"R K STREET,PURUSHOTAMPUR",GANJAM,Odisha,SBI
672,DAKHINKALI KISSAN SEVA KENDRA,"R K STREET,PURUSHOTAMPUR",GANJAM,Odisha,SBI
673,PRANAKRUSHNA KSK,"PAKHAR , SARASWATIPUR,ANANTAPUR ,SORO, BALASORE",BALESHWAR,Odisha,SBI
674,JANHABI KISAN SEVA KENDRA,"NEAR FEDERAL BANK ,,SORO, BALASORE",BALESHWAR,Odisha,SBI
675,KUCHINDA FUELS,"KUNDAPOSI KUSUMI ROAD,KUCHINDA SAMBALPUR",SAMBALPUR,Odisha,SBI
676,SHYAM ENTERPRISES,"SHYAM ENTERPRISES KUSUMI,KUSUMI KUCHINDA",SAMBALPUR,Odisha,SBI
677,MAA BARUNEI KISAN SEVA KENDRA,"NANDAPUR,NANDAPUR, DOLASAHI ,BHADRAK",BHADRAK,Odisha,SBI
678,DADHI BABAN DURGA FILLING STATION,"MALTI GUNDERPUR,Sambalpur",SAMBALPUR,Odisha,SBI
679,SAILABALA FUELS (KSK),"AT/PO-BANHAR,VIA-ATTABIRA,BARGARH",BARGARH,Odisha,SBI
680,GOVIND CHANDRA KSK,"AT/PO- TELKOI,KEONJHAR",KEONJHAR,Odisha,SBI
681,LA FUEL,"AT- KAMARIJODA, JODA, INFRONT OF HOTEL LAO PALACE,JODA",KEONJHAR,Odisha,SBI
682,LAGAN FUEL CENTRE KSK,"SOLBAGA PS- MAHULPALI ATPO KESAIBAHAL DIST SAMBALPUR,SAMBALPUR",SAMBALPUR,Odisha,SBI
683,BISWAKARMA SAMALESWARI FUEL KSK,"NAKTIDEUL NEAR TIKIRA BREEGE ATPO- SARAOALI,SAMBALPUR",SAMBALPUR,Odisha,SBI
684,AJAY KISAN SEVA KENDRA,"KAIMATI DHENKANAL,DHENKANAL TALCHER",DHENKANAL,Odisha,SBI
685,JAGANNATH KISAN SEVA KENDRA,"GANGADHAR PUR,JARAKA, NEAR JARAKA HIGH SCHOOL",JAJPUR,Odisha,SBI
686,AKANKSHYA KISAN SEVA KENDRA,"AKANKSHYA KISAN SEVA KENDRA BHAPUR,DHENKANAL DHENKANAL",DHENKANAL,Odisha,SBI
687,GOURI SHANKAR FILLING STATION,"AT LAXMIPUR PO LAXMIPUR,LAXMIPUR KORAPUT",KORAPUT,Odisha,SBI
688,GOURI SHANKAR FILLING STATION,"AT LAXMIPUR PO LAXMIPUR,LAXMIPUR KORAPUT",KORAPUT,Odisha,SBI
689,BALIAPAL KISAN SEVA KENDRA,"kachuapada,BALIAPAL,BALASORE",BALESHWAR,Odisha,SBI
690,YOSOHARI FULES(KSK),"at/po bhojpur, po kuturachuan,Sambalpur",SAMBALPUR,Odisha,SBI
691,PANDA FILLING STATION,"Bijepur,Baragarh",KALAHANDI,Odisha,SBI
692,BHOI FILLING STATION,"AT- HANUMAN CHOWK, PO- KOMNA, DIST- NAWAPARA, ODISHA,KOMNA",NUAPARHA,Odisha,SBI
693,Ms Dwarakamayee KSK,"DWARAKAMAYEE KSK BADANAIGUAN K GOPINATHPUR,NEAR SAI MANDIR UTTERKUL CUTTACK",CUTTACK,Odisha,SBI
695,RUDRA FUEL CENTER,"LATHIKATA,ROURKELA",SUNDARGARH,Odisha,SBI
696,RAJA KISAN SEVA KENDRA,"PODA ASTIA P.O. PODA ASTIA DIST: MAYURBHANJ,MAYURBHANJ",MAYURBHANJ,Odisha,SBI
697,SAGAR SERVICE STATION,NH-6 REMED CHOWK SAMBALPUR-768 101 ORISSA,SAMBALPUR,Odisha,SBI
698,KHANDADHAR FUEL POINT,M/S MADHAB CHANDRA MAJHI RAJAMUNDA SUNDERGARH,SUNDARGARH,Odisha,SBI
699,ADR AGENCIES,"No.41, Pondi to sellipattu, thiruvannamalai road,,Pondicherry",PONDICHERRY,Pondicherry,SBI
700,A D R AGENCY,"No.41, Pondi to sellipattu, thiruvannamalai road,,Pondicherry",PONDICHERRY,Pondicherry,SBI
701,GAURAVJEET KISSAN SEWA KENDRA,"VPO BHINDER TEHSIL BABA,BAKALA AMRITSAR",AMRITSAR,Punjab,SBI
702,HARIKE KISAN SEWA KENDRA,"VILL BALIAL LINE 1,BHAWANIGARH BHAWANIGARH",SANGRUR,Punjab,SBI
703,HARSUKHMANVEER KISSAN SEWA KENDRA,"TIMMOWAL ROAD CHHAJJALWADI,TEHSIL BABA BAKALA TANGRA",AMRITSAR,Punjab,SBI
704,MANJIT KISAN SEWA KENDRA,"VPO JOHAL DHAI WALA TEH KHADUR SAHIB,TARN TARAN TARN TARAN",TARN TARAN,Punjab,SBI
705,RAJA RAM JI KISSAN SEWA KENDRA,"VPO DHOTIAN PATI RAJA RAM,TARN TARAN TARN TARAN",TARN TARAN,Punjab,SBI
706,C A PETRO ENTERPRISES,"VILLAGE HATHUR JAGRAON ROAD HATHUR LUDHIANA,JAGRAON",LUDHIANA,Punjab,SBI
707,PUKHRAJ KISAN SEWA KENDRA,"NEAR STATE BANK OF INDIA OPP WATER TANK VP O GOINDWAL SAHIB TEH KHADOOR SAHIB,TARNTARAN",TARN TARAN,Punjab,SBI
708,MS BALKAR SINGH KISSAN SEWA KENDRA,"vpo jharoli, dina nagar distt gurdaspur, jharoli,DINANAGAR",GURDASPUR,Punjab,SBI
709,MAHESH FILLING STATION,"pandori road talibpur, gurdaspur, pandori mahantan,GURDASPUR",GURDASPUR,Punjab,SBI
710,ZIMIDARA FILLING STATION VALTOHA,"valtoha patti khemkaran tarn taran,AMARKOT",HOSHIARPUR,Punjab,SBI
711,RATTIAN KISSAN SEWA KENDRA,"RATTIAN KISSAN SEWA KENDRA RATTIAN,MOGA MOGA",MOGA,Punjab,SBI
712,DATAR FILLING STATION KSK,"DATAR FILLING STATION K S K KUKAR PIND,JALANDHAR",JALANDHAR,Punjab,SBI
713,GILL FILLING STATION,"VILL MURADPURA FATEGARH CHURIAN ROAD,AMRITSAR",AMRITSAR,Punjab,SBI
714,RAJINDERBIR KISSAN SEWA KENDER,"FATEGARH CHURIAN ROAD SOHIAN KALAN,AMRITSAR",AMRITSAR,Punjab,SBI
715,TULI FUELS KISSAN SEWA KENDRA,"VPO SHAHPPUR GORAYA DERA BABA NANAK,GURDASPUR GURDASPUR",GURDASPUR,Punjab,SBI
716,SOKHAL KISSAN SEWA KENDRA GUMJAL,"PANNIWALA ROAD VILLAGE GUMJAL,GUMJAL ABOHAR",FAZILKA,Punjab,SBI
717,BHAVIKA KISSAN SEWA KENDRA BHANGAR KHERA,"VPO BHANGAR KHERA BHANGAR KHERA,BHANGAR KHERA ABOHAR",FAZILKA,Punjab,SBI
718,JEEWAN KISSAN SEWA KENDRA,"VPO DALMIR KHERA DALMIR KHERA,ABOHAR ABOHAR",FAZILKA,Punjab,SBI
719,AMRIT PAL KISSAN SEWA KENDRA,"AMRIPT PAL KISSAN SEWA KENDRA DHAPALI BHAI RUPA - RAMPURAPHUL ROAD DHAPALI distBATHINDA,DHAPALI",BATHINDA,Punjab,SBI
720,BHAROWAL KISSAN SEWA KENDRA,"BHAROWAL KISSAN SEWA KENDRA VPO SIDWABET,HUMBRAN ROAD LUDHIANA",LUDHIANA,Punjab,SBI
721,"LAKSHMI KISSAN SEWA KENDER (ChandigarhCircle)","LAKSHMI KISSAN SEWA KENDER VILL ALIPUR,BHALWAN TO CHINTAWALA ROAD NABHA",PATIALA,Punjab,SBI
